source,target,regex,type,code,match
"^/produkty/auto-moto/","/produkty/vozidla-a-nahradni-dily/","1","url","301","url"
"^/produkty/cestovani/","/produkty/tasky-a-zavazadla/","1","url","301","url"
"^/produkty/chovatelske-potreby/","/produkty/chovatelstvi/","1","url","301","url"
"^/produkty/detske-zbozi/","/produkty/deti-a-kojenci/","1","url","301","url"
"^/produkty/erotika/","/produkty/pro-dospele/","1","url","301","url"
"^/produkty/hudba-a-film/","/produkty/umeni-a-zabava/","1","url","301","url"
"^/produkty/knihy-a-casopisy/","/produkty/media/","1","url","301","url"
"^/produkty/kosmetika-a-parfemy/","/produkty/zdravi-a-krasa/","1","url","301","url"
"^/produkty/kvetiny/","/produkty/umeni-a-zabava/","1","url","301","url"
"^/produkty/lekarna-a-zdravi/","/produkty/zdravi-a-krasa/","1","url","301","url"
"^/produkty/mobily-a-gps/","/produkty/elektronika/","1","url","301","url"
"^/produkty/nemovistosti/","/produkty/obchod-a-prumysl/","1","url","301","url"
"^/produkty/ostatni/","/produkty/obchod-a-prumysl/","1","url","301","url"
"^/produkty/pocitace-a-hry/","/produkty/hracky-a-hry/","1","url","301","url"
"^/produkty/potraviny/","/produkty/jidlo-piti-a-tabak/","1","url","301","url"
"^/produkty/sberatelstvi/","/produkty/umeni-a-zabava/","1","url","301","url"
"^/produkty/sluzby/","/produkty/obchod-a-prumysl/","1","url","301","url"
"^/produkty/sperky-a-hodinky/","/produkty/obleceni-a-doplnky/","1","url","301","url"
"^/produkty/sport-a-turistika/","/produkty/sportovni-potreby/","1","url","301","url"
"^/produkty/starozitnosti-a-umeni/","/produkty/dum-a-zahrada/","1","url","301","url"
"^/produkty/stavebni-material/","/produkty/kutilstvi-a-remeslo/","1","url","301","url"
"^/produkty/tabak-a-alkohol/","/produkty/jidlo-piti-a-tabak/","1","url","301","url"
"^/produkty/ubytovani/","/produkty/obchod-a-prumysl/","1","url","301","url"
"^/produkty/vojenstvi/","/produkty/obleceni-a-doplnky/","1","url","301","url"
"^/produkty/zabava/","/produkty/umeni-a-zabava/","1","url","301","url"
